,Company_Names,World_Ranks(Jan-2020),Market_Cap(In_Billion_USD),Headquarter_of_Company,Annual_Revenue_till,Annual_revenue,Annual_Net_Income_till,Annual_Net_income,Sector,Total_Employees,Employee_Count_as_on_Date,CEO,Annual_Revenue,Annual_Net_Income,Annual_Revenue(mbtc),Annual_Net_Income(mbtc)
11,JOHNSON & JOHNSON,12,383.15,USA,2020,82.58 Billion USD,2020,14.71 Billion USD,"Healthcare, Medical Equipment, Pharmaceutical, FMCG, Biotechnology, Technology, HealthCare Products",141700,2021,Joaquin Duato,82.58,14.71,Billion USD,Billion USD
12,WALMART,13,337.45,USA,2020,523.96 Billion USD,2020,14.88 Billion USD,"Retail, Super Markets, eCommerce, Hypermarkets, Consumer Services",2300000,2021,Doug McMillon,523.96,14.88,Billion USD,Billion USD
13,SAMSUNG ELECTRONICS,14,320.01,South Korea,2020,236.81 Trillion KRW,2020,22.92 Trillion KRW,"Technology, Electronics, Semiconductors, Mobiles & Accessories, Cameras & Accessories, Tablets, Home Appliances, Refrigerators, Air Conditioners, Washing Machines, TV's, Consumer Electronics",113753,2022,"Kim Hyun Suk, Koh Dong-Jin, Kim Ki Nam",236.81,22.92,Trillion KRW,Trillion KRW
14,BANK OF AMERICA CORPORATION,15,317.98,USA,2020,85.53 Billion USD,2020,16.47 Billion USD,"Financial Services, Banking Services, Investment Banking, Insurance, Credit Cards, Wealth Management, Asset Management, Mortgage",208000,2021,Brian Moynihan,85.53,16.47,Billion USD,Billion USD
15,NESTLE AG,16,311.59,Switzerland,2020,84.68 Billion CHF,2020,12.23 Billion CHF,"Consumer Defensive, FMCG, Food Products, Beverages, Dairy Products, Non-Alcoholic Beverages, Chocolate & Confectionery, Coffee, Consumer Non Durables, Food and Beverage, Package Foods",273000,2020,Ulf Mark Schneider,84.68,12.23,Billion CHF,Billion CHF
16,PROCTER & GAMBLE COMPANY,17,307.76,USA,2020,70.95 Billion USD,2020,13.03 Billion USD,"Consumer Defensive, FMCG, Consumer Non Durables, Beauty and Personal Care, Personal Care Products, HealthCare Products",101000,2021,Jon R. Moeller,70.95,13.03,Billion USD,Billion USD
17,MASTERCARD,18,303.92,USA,2020,15.30 Billion USD,2020,6.41 Billion USD,"Digital Payment Solution Services, Financial Services, Credit Cards, Technology, Business Services, Artificial Intelligence",24000,2021,Michael Miebach,15.3,6.41,Billion USD,Billion USD
18,ICBC,19,301.27,China,2019,853 Billion CNY,2019,312 Billion CNY,"Financial Services, Banking Services, Investment Banking",434798,2021,Nicolas Jimenez,853.0,312.0,Billion CNY,Billion CNY
19,EXXON MOBIL CORPORATION,20,298.48,USA,2020,181.50 Billion USD,2020,-22.44 Billion USD,"Energy, Oil and Gas, Petrochemicals, Natural Gas Generation, Electricity Generation, Chemicals, Plastics / Plastic Products",64000,2021,Darren Woods,181.5,22.44,Billion USD,Billion USD
20,TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC),21,293.32,Taiwan,2020,339.2 Billion TWD,2020,517.8 Billion TWD,"Technology, Semiconductors, Electronics, Technology Hardware and Instruments, Processors / Chips",56831,2020,C. C. Wei,339.2,517.8,Billion TWD,Billion TWD
21,AT&T,22,283.87,USA,2020,171.76 Billion USD,2020,-5.37 Billion USD,"Telecom, Communication Services, Internet Providers, Mobile Services, Fixed Line Service, Television Services, Media, Advertising, Utilities, Telecom Equipment",203000,2022,John T. Stankey,171.76,5.37,Billion USD,Billion USD
22,ROCHE HOLDING AG,23,279.68,Switzerland,2020,58.32 Billion CHF,2020,14.29 Billion CHF,"Healthcare, Pharmaceutical, Medical Equipment, Biotechnology, Healthcare Service, Technology, HealthCare Products",100920,2021,Severin Schwan,58.32,14.29,Billion CHF,Billion CHF
23,UNITEDHEALTH GROUP,24,275.38,USA,2020,255.63 Billion USD,2020,15.40 Billion USD,"Healthcare, Healthcare Service, Insurance, HealthCare Products",350000,2021,Andrew Witty,255.63,15.4,Billion USD,Billion USD
24,THE WALT DISNEY COMPANY,25,267.12,USA,2020,388 Million USD,2020,474  Million USD,"Communication Services, Broadcasting, Television Services, Media, Advertising, Consumer Services, TV's, Entertainment",190000,2021,Bob Chapek,388.0,474.0,Million USD,Million USD
25,INTEL CORPORATION,26,263.81,USA,2020,77.86 Billion USD,2020,20.89 Billion USD,"Technology, Software and IT, Technology Hardware and Instruments, Processors / Chips, Computers Hardware, Semiconductors, Mobiles & Accessories, Memory Products, Artificial Intelligence, Internet of Things, Electronics, Consumer Electronics, Software Products",121100,2021,Patrick P. Gelsinger,77.86,20.89,Billion USD,Billion USD
26,VERIZON COMMUNICATIONS,27,252.49,USA,2020,128.29 Billion USD,2020,17.80 Billion USD,"Communication Services, Telecom, Fixed Line Service, Mobile Services, Internet Providers, Television Services, Media, Advertising, Utilities, Telecom Equipment",118400,2021,Hans Vestberg,128.29,17.8,Billion USD,Billion USD
27,HOME DEPOT,28,239.61,USA,2020,110.22 Billion USD,2020,11.24 Billion USD,"Retail, eCommerce, Construction Materials, Consumer Services",500000,2021,Craig Menear,110.22,11.24,Billion USD,Billion USD
28,LVMH,29,237.81,France,2020,44.63 Billion EUR,2020,4.70 Billion EUR,"Fashion and Luxury Goods, Non-Alcoholic Beverages, Clothing, Jewellery, Watches, FMCG, Luxury Goods, Consumer Goods, Beverages",150000,2021,Bernard Arnault,44.63,4.7,Billion EUR,Billion EUR
29,ROYAL DUTCH SHELL,30,237.1,Netherlands,2020,180.64 Billion USD,2020,-21.68 Billion USD,"Energy, Oil and Gas, Chemicals, Natural Gas Generation, Electricity Generation, Petrochemicals, Electric Vehicle Charging Station",86000,2021,Ben van Beurden,180.64,21.68,Billion USD,Billion USD
30,COCA-COLA COMPANY,31,235.6,USA,2020,33.01 Billion USD,2020,7.75 Billion USD,"Consumer Defensive, Beverages, Non-Alcoholic Beverages, FMCG, Consumer Non Durables",80300,2020,James Quincey,33.01,7.75,Billion USD,Billion USD
31,MERCK & CO,32,231.56,USA,2020,47.99 Billion USD,2020,7.07 Billion USD,"Healthcare, Pharmaceutical, Animal Healthcare Companies, Animal Health Medicine, Biotechnology, HealthCare Products, Healthcare Service, Technology",74000,2020,Robert M. Davis,47.99,7.07,Billion USD,Billion USD
32,CHEVRON CORPORATION,33,228.68,USA,2020,94.47 Billion USD,2020,-5.54 Billion USD,"Energy, Oil and Gas, Chemicals, Natural Gas Generation, Petrochemicals, Electricity Generation",42595,2021,Michael Wirth,94.47,5.54,Billion USD,Billion USD
33,WELLS FARGO & COMPANY,34,227.14,USA,2020,72.34 Billion USD,2020,17.10 Billion USD,"Financial Services, Banking Services, Insurance, Credit Cards, Asset Management",253871,2021,Charles W. Scharf,72.34,17.1,Billion USD,Billion USD
34,PING AN INSURANCE (GROUP) COMPANY OF CHINA,35,226.85,China,2020,1113 Billion CNY,2020,143.1 Billion CNY,"Financial Services, Banking Services, Insurance",362000,2020,Ma Mingzhe,1113.0,143.1,Billion CNY,Billion CNY
35,CHINA CONSTRUCTION BANK CORPORATION,36,222.69,China,2019,705 Billion CNY,2019,266.7 Billion CNY,"Financial Services, Banking Services",349671,2020,Bob van Dijk,705.0,266.7,Billion CNY,Billion CNY
36,PFIZER,37,215.48,USA,2020,41.91 Billion USD,2020,9.62 Billion USD,"Healthcare, Pharmaceutical, HealthCare Products, Biotechnology, Technology",78500,2021,Albert Bourla,41.91,9.62,Billion USD,Billion USD
37,NOVARTIS AG,38,215.02,Switzerland,2020,49.89 Billion USD,2020,8.07 Billion USD,"Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Healthcare Service, Technology",104323,2021,Vasant Narasimhan,49.89,8.07,Billion USD,Billion USD
38,COMCAST CORPORATION,39,206.4,USA,2020,103.56 Billion USD,2020,10.53 Billion USD,"Communication Services, Television Services, Broadcasting, Telecom, Internet Providers, Media, Advertising, Consumer Services, Entertainment, Cable Operator",189000,2021,Brian L. Roberts,103.56,10.53,Billion USD,Billion USD
39,CISCO SYSTEMS,40,204.5,USA,2020,49.30 Billion USD,2020,11.21 Billion USD,"Technology, Network Hardware and Software, Telecom Equipment, Internet of Things, Computers Hardware, Software and IT, Communications Equipment",79500,2021,Chuck Robbins,49.3,11.21,Billion USD,Billion USD
40,TOYOTA MOTOR CORPORATION,41,203.34,Japan,2020,930 Billion JPY,2020,076 Billion JPY,"Automobile, Cars, Capital Goods, Passenger Vehicles",366283,2021,Akio Toyoda,930.0,76.0,Billion JPY,Billion JPY
41,KWEICHOW MOUTAI,42,190.82,China,2019,85.43 Billion CNY,2019,41.21 Billion CNY,"Consumer Defensive, Beverages, Alcoholic Beverages, Food Products, FMCG, Food and Beverage",29031,2021,Li Bao Fang,85.43,41.21,Billion CNY,Billion CNY
42,PEPSICO,43,189.39,USA,2020,70.37 Billion USD,2020,7.12 Billion USD,"Consumer Defensive, Beverages, Food Products, FMCG, Consumer Non Durables, Food and Beverage, Non-Alcoholic Beverages",309000,2021,Ramon Laguarta,70.37,7.12,Billion USD,Billion USD
43,BOEING COMPANY,44,186.88,USA,2020,58.16 Billion USD,2020,- 11.87 Billion USD,"Industries, Aeroplane, Defense Products, Rockets, Missiles, Satellites, Space Products, Aerospace Products, Aircrafts, Capital Goods, Aerospace and Defense, Technology",141014,2021,Dave Calhoun,58.16,7.12,Billion USD,11.87 Billion
44,AGRICULTURAL BANK OF CHINA,45,186.29,China,2019,627.2 Billion CNY,2019,212.1 Billion CNY,"Financial Services, Banking Services",459000,2021,Bob van Dijk,627.2,212.1,Billion CNY,Billion CNY
45,CITI GROUP,46,178.42,USA,2020,74.29 Billion USD,2020,11.37 Billion USD,"Financial Services, Banking Services, Asset Management",210000,2020,Jane Fraser,74.29,11.37,Billion USD,Billion USD
46,CHINA MOBILE,47,172.9,China,2019,745.92 Billion CNY,2019,106.64 Billion CNY,"Communication Services, Telecom, Internet Providers, Mobile Services, Fixed Line Service, Television Services, Utilities, Telecom Equipment",454332,2020,Li Yue,745.92,106.64,Billion CNY,Billion CNY
47,ORACLE CORPORATION,48,171.83,USA,2019,068 Million USD,2019,135 Million USD,"Technology, Software and IT, Software Products, Cloud Services, Software and IT Infrastructure",132000,2021,Safra A. Catz,68.0,135.0,Million USD,Million USD
48,SAP SE,49,169.6,Germany,2020,27.33 Billion EUR,2020,5.28 Billion EUR,"Technology, Software and IT, Software Products, Internet of Things, Cloud Services",107415,2021,Christian Klein,27.33,5.28,Billion EUR,Billion EUR
49,L'OREAL,50,165.74,France,2020,27.99 Billion EUR,2020,3.56 Billion EUR,"Consumer Defensive, Cosmetics, Beauty and Personal Care, FMCG, Consumer Non Durables, Consumer Goods",85392,2021,Jean Paul Agon,27.99,3.56,Billion EUR,Billion EUR
50,ANHEUSER-BUSCH INBEV,51,163.22,Belgium,2020,46.88 Billion USD,2020,1.40 Billion USD,"Consumer Defensive, Beverages, Non-Alcoholic Beverages, FMCG, Consumer Non Durables, Alcoholic Beverages",164000,2021,Michel Doukeris,46.88,1.4,Billion USD,Billion USD
51,ADOBE,52,160.8,USA,2020,12.86 Billion USD,2020,5.26 Billion USD,"Technology, Software and IT, Software Products, Software and IT Infrastructure, Artificial Intelligence",25988,2021,Shantanu Narayen,12.86,5.26,Billion USD,Billion USD
52,HSBC HOLDINGS,53,160.68,UK,2019,68.06 Billion USD,2019,7.38 Billion USD,"Financial Services, Banking Services, Insurance, Asset Management",223448,2021,Noel Quinn,68.06,7.38,Billion USD,Billion USD
53,NIKE,54,160.0,USA,2020,37.42 Billion USD,2020,2.53 Billion USD,"Consumer Cyclical, Shoes, Footwear, Sports Goods, Consumer Non Durables",73300,2021,John Donahoe,37.42,2.53,Billion USD,Billion USD
54,MCDONALD'S CORPORATION,55,156.86,USA,2020,19.20 Billion USD,2020,4.73 Billion USD,"Consumer Cyclical, Restaurants, Food Products, Non-Alcoholic Beverages, Consumer Services, Entertainment, Beverages",200000,2020,Chris Kempczinski,19.2,4.73,Billion USD,Billion USD
55,MEDTRONIC,56,153.91,Ireland,2020,28.91 Billion USD,2020,4.78 Billion USD,"Healthcare, Medical Equipment, Biotechnology, Electronics, HealthCare Products, Healthcare Service, Technology",90000,2021,Geoffrey S. Martha,28.91,4.78,Billion USD,Billion USD
56,ABBOTT LABORATORIES,57,151.94,USA,2020,34.60 Billion USD,2020,4.49 Billion USD,"Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Healthcare Service, Technology, Medical Equipment",113000,2021,Robert Ford,34.6,4.49,Billion USD,Billion USD
57,BRISTOL-MYERS SQUIBB COMPANY,58,151.91,USA,2020,42.51 Billion USD,2020,-9.01 Billion USD,"Healthcare, Pharmaceutical, Biopharmaceutical, Biotechnology, HealthCare Products, Technology",32200,2021,Giovanni Caforio,42.51,9.01,Billion USD,Billion USD
58,UNILEVER GROUP,59,151.75,"Netherlands, UK",2020,50.72 Billion EUR,2020,5.58 Billion EUR,"Consumer Defensive, FMCG, Beauty and Personal Care, Food Products, Home Care Products, Consumer Non Durables",149000,2022,Alan Jope,50.72,5.58,Billion EUR,Billion EUR
59,BANK OF CHINA,60,150.54,China,2019,548.1 Billion CNY,2019,187.4 Billion CNY,"Financial Services, Banking Services, Insurance, Asset Management",309084,2020,Gao Yingxin,548.1,187.4,Billion CNY,Billion CNY
60,PETROCHINA COMPANY,61,148.07,China,2019,516.8 Billion CNY,2019,45.6 Billion CNY,"Energy, Oil and Gas, Petrochemicals, Natural Gas Generation, Chemicals",476223,2021,Wang Dongjin,516.8,45.6,Billion CNY,Billion CNY
61,SALESFORCE.COM,62,146.82,USA,2020,17.09 Billion USD,2020,0.12 Billion USD,"Technology, Cloud Services, Artificial Intelligence, Software Products, Software and IT",56606,2021,Marc Benioff,17.09,0.12,Billion USD,Billion USD
62,NVIDIA CORPORATION,63,145.97,USA,2021,16.67 Billion USD,2020,4.33 Billion USD,"Technology, Semiconductors, Electronics, Technology Hardware and Instruments, Computers Hardware, Video Games / Mobile Games / Tech Games / Casino Games, Artificial Intelligence",18975,2021,Jensen Huang,16.67,4.33,Billion USD,Billion USD
63,TOTALENERGIES SE,64,144.69,France,2019,176.3 Billion USD,2019,11.27 Billion USD,"Energy, Oil and Gas, Chemicals, Natural Gas Generation, Power Generation, Electricity Generation, Oil Refining",105476,2020,Patrick Pouyanne,176.3,11.27,Billion USD,Billion USD
64,NETFLIX,65,144.54,USA,2020,24.99 Billion USD,2020,2.76 Billion USD,"Communication Services, Electronics, Internet or Mobile App Based Business, Media, Advertising, Television Services, TV's, Entertainment, Artificial Intelligence",12135,2021,"Ted Sarandos, Reed Hastings",24.99,2.76,Billion USD,Billion USD
65,AMGEN,66,143.79,USA,2020,25.42 Billion USD,2020,7.26 Billion USD,"Healthcare, Pharmaceutical, Biopharmaceutical, Biotechnology, HealthCare Products, Technology",24200,2021,Robert A. Bradway,25.42,7.26,Billion USD,Billion USD
66,BHP GROUP,67,141.26,Australia,2020,42.93 Billion USD,2020,7.95 Billion USD,"Basic Materials, Metals, Mining, Iron and Steel, Oil and Gas, Coal Mining, Copper Mining, Nickel, Natural Gas Generation, Precious Metals",80000,2020,Mike Henry,42.93,7.95,Billion USD,Billion USD
67,CHINA MERCHANTS BANK,68,140.14,China,2019,267.9 Billion CNY,2019,92.86 Billion CNY,"Financial Services, Banking Services, Asset Management, Credit Cards",90867,2021,Huiyu Tian,267.9,92.86,Billion CNY,Billion CNY
68,NOVO NORDISK A/S,69,137.6,Denmark,2020,126.94 Billion DKK,2020,42.14 Billion DKK,"Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Healthcare Service, Technology",45971,2021,Lars Fruergaard Jorgensen,126.94,42.14,Billion DKK,Billion DKK
69,HUAWEI,69,137.6,China,2019,858.8 Billion CNY.,2019,62.7 Billion CNY.,"Telecom, Telecom Equipment, Technology, Technology Hardware and Instruments, Mobiles, Tablets, Electronics, Consumer Electronics, Communications Equipment",197000,2020,Bob van Dijk,858.8,62.7,Billion CNY.,Billion CNY.
70,RELIANCE INDUSTRIES,70,136.37,India,2020,205 Crores INR,2020,324 Crores INR,"Energy, Conglomerate, Oil and Gas, Chemicals, Telecom, Retail, Petrochemicals, Textile, eCommerce, Super Markets, Technology",236330,2021,Mukesh Ambani,205.0,324.0,Crores INR,Crores INR
71,PHILIP MORRIS INTERNATIONAL,71,135.35,USA,2020,28.69 Billion USD,2020,8.03 Billion USD,"Consumer Defensive, Tobacco Products, Cigarettes, Agriculture Products, FMCG, Consumer Non Durables, Tobacco and Cigarette",69900,2021,Jacek Olczak,28.69,8.03,Billion USD,Billion USD
72,ASTRAZENECA,72,135.3,UK,2020,26.21 Billion USD,2020,3.19 Billion USD,"Healthcare, Pharmaceutical, Biopharmaceutical, Biotechnology, HealthCare Products, Technology",70600,2020,Pascal Soriot,26.21,3.19,Billion USD,Billion USD
73,ACCENTURE,73,134.17,Ireland,2020,44.32 Billion USD,2020,5.10 Billion USD,"Technology, Software and IT, Software Products, Software Consulting Services, Software Outsourcing Services, Business Services, Consulting Services, Outsourcing and Staffing, Artificial Intelligence",699000,2021,Julie Sweet,44.32,5.1,Billion USD,Billion USD
74,THERMO FISHER SCIENTIFIC,74,132.53,USA,2020,32.21 Billion USD,2020,6.37 Billion USD,"Healthcare, Medical Equipment, Pharmaceutical, Technology Hardware and Instruments, Electronics, Software Products, Biotechnology, Capital Goods, Machinery Manufacturing, Software and IT, Technology, Manufacturing, Health Care Diagnostics",130000,2021,Marc N. Casper,32.21,6.37,Billion USD,Billion USD
75,AIA GROUP,75,131.85,Hong Kong,2020,50.36 Billion USD,2020,5.78 Billion USD,"Financial Services, Insurance",23000,2021,Lee Yuan Siong,50.36,5.78,Billion USD,Billion USD
76,ABBVIE,76,131.67,USA,2020,45.80 Billion USD,2020,4.61 Billion USD,"Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Healthcare Service, Technology",47000,2020,Richard A. Gonzalez,45.8,4.61,Billion USD,Billion USD
77,COSTCO WHOLESALE CORPORATION,77,131.41,USA,2020,166.76 Billion USD,2020,4.00 Billion USD,"Consumer Defensive, Retail, eCommerce, Food Service, Hypermarkets, Consumer Services, Travel and Transport",288000,2021,W. Craig Jelinek,166.76,4.0,Billion USD,Billion USD
78,RAYTHEON TECHNOLOGIES CORPORATION,78,131.13,USA,2019,77.04 Billion USD,2019,5.54 Billion USD,"Industries, Aerospace and Defense, Aerospace Products, Aircraft Parts, Defense Products, Elevators, Escalators, Building Automation, Security Systems and Solutions, Capital Goods, Automation, Space Products",174000,2021,Gregory Hayes,77.04,5.54,Billion USD,Billion USD
79,PAYPAL HOLDINGS,79,129.51,USA,2020,21.45 Billion USD,2020,4.20 Billion USD,"Financial Services, Digital Payment Solution Services, Internet or Mobile App Based Business, Software Products, Business Services, Software and IT",30900,2021,Daniel Schulman,21.45,4.2,Billion USD,Billion USD
80,BP P.L.C.,80,128.56,UK,2019,282423 Million USD,2019,4190 Million USD,"Energy, Oil and Gas, Petrochemicals, Chemicals, Electric Vehicle Charging Station",60000,2021,Bernard Looney,282423.0,4190.0,Million USD,Million USD
81,HONEYWELL INTERNATIONAL,81,128.44,USA,2020,32.63 Billion USD,2020,4.77 Billion USD,"Industries, Software Products, Technology Hardware and Instruments, Aerospace Products, Building Automation, Engineering Products, Automobile Parts, Electronics, Robotics, Automation, Automobile, Software and IT, Aerospace and Defense, Technology, Space Products",99000,2021,Darius Adamczyk,32.63,4.77,Billion USD,Billion USD
82,ELI LILLY AND COMPANY,82,128.18,USA,2020,24.53 Billion USD,2020,6.19 Billion USD,"Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Healthcare Service, Technology",35000,2020,David A. Ricks,24.53,6.19,Billion USD,Billion USD
83,CHINA LIFE INSURANCE COMPANY,83,128.05,China,2019,729.4 Billion CNY,2019,58.28 Billion CNY,"Financial Services, Banking Services, Insurance",104160,2021,Dairen Lin,729.4,58.28,Billion CNY,Billion CNY
84,ASML HOLDING,84,127.54,Netherlands,2020,13.97 Billion EUR,2020,3.55 Billion EUR,"Technology, Semiconductors, Electronics, Technology Hardware and Instruments",28000,2021,Peter Wennink,13.97,3.55,Billion EUR,Billion EUR
85,BROADCOM,85,127.2,USA,2020,23.88 Billion USD,2020,2.66 Billion USD,"Technology, Electronics, Semiconductors, Processors / Chips, Networking Products / Solutions, Network Hardware and Software, Software Products, Software and IT",20000,2021,Hock E. Tan,23.88,2.66,Billion USD,Billion USD
86,UNION PACIFIC CORPORATION,86,127.16,USA,2020,19.53 Billion USD,2020,5.35 Billion USD,"Industries, Freight Transport, Transportation, Railway, Railway Vehicles and Railway Components, Infrastructure",32124,2021,Lance M. Fritz,19.53,5.35,Billion USD,Billion USD
87,SANOFI,87,127.05,France,2020,37.37 Billion EUR,2020,12.31 Billion EUR,"Healthcare, Pharmaceutical, HealthCare Products",95442,2021,Paul Hudson,37.37,12.31,Billion EUR,Billion EUR
88,TEXAS INSTRUMENTS,88,126.27,USA,2020,14.46 Billion USD,2020,5.59 Billion USD,"Technology, Semiconductors, Electronics, Processors / Chips, Sensors",31000,2021,Richard K. Templeton,14.46,5.59,Billion USD,Billion USD
89,PROSUS,89,125.91,Netherlands,2020,330 Million USD,2020,715 Million USD,"Communication Services, Internet or Mobile App Based Business, eCommerce, Technology, Investments",23874,2021,Bob van Dijk,330.0,715.0,Million USD,Million USD
90,IBM,90,119.94,USA,2019,77.15 Billion USD,2019,9.43 Billion USD,"Technology, Software and IT, Software Products, Computers Hardware, Laptops, Cloud Services, Artificial Intelligence, Internet of Things, Electronics, Consumer Electronics",375300,2021,Arvind Krishna,77.15,9.43,Billion USD,Billion USD
91,ANT GROUP,90,119.94,China,2019,17.82 Billion USD,2019,2.67 Billion USD,"Digital Payment Solution Services, Technology, Software and IT",9220,2021,Xiaoming Hu,17.82,2.67,Billion USD,Billion USD
92,NEXTERA ENERGY,91,119.5,USA,2020,17.99 Billion USD,2020,2.92 Billion USD,"Utilities, Electricity Generation, Electric Utilities, Utilities, Renewable Energy, Solar Power, Wind Power, Power Generation, Energy",14900,2020,James L Robo,17.99,2.92,Billion USD,Billion USD
93,AIRBUS,92,117.26,Netherlands,2019,70.47 Billion EUR,2019,- 1.36 Billion EUR,"Industries, Aerospace and Defense, Aeroplane, Defense Products, Helicoptors, Space Products, Aircrafts, Machinery Manufacturing, Manufacturing",125888,2021,Guillaume Faury,70.47,2.92,Billion EUR,1.36 Billion
94,GLAXOSMITHKLINE,93,116.69,UK,2019,33.75 Billion GBP,2019,4.64 Billion GBP,"Healthcare, Pharmaceutical, HealthCare Products, Biotechnology, Technology",99000,2021,Dame Emma Walmsley,33.75,4.64,Billion GBP,Billion GBP
95,RIO TINTO GROUP,94,115.29,UK,2020,611 Million USD,2020,769 Million USD,"Basic Materials, Metals, Mining, Aluminum, Iron and Steel, Copper Mining, Gold Mining, Diamonds, Coal Mining, Molybdenum, Precious Metals",49000,2021,Jakob Stausholm,611.0,769.0,Million USD,Million USD
96,LINDE AG,95,114.01,"UK, Ireland",2020,27.24 Billion USD,2020,2.50 Billion USD,"Basic Materials, Chemicals, Industrial Gases",74207,2021,Sanjiv Lamba,27.24,2.5,Billion USD,Billion USD
97,ROYAL BANK OF CANADA,96,113.45,Canada,2020,181 Million CAD,2020,437 Million CAD,"Financial Services, Banking Services, Wealth Management, Asset Management, Credit Cards, Mortgage, Insurance",85301,2021,David I. McKay,181.0,437.0,Million CAD,Million CAD
98,TATA CONSULTANCY SERVICES (TCS),97,113.36,India,2020,1569.5 Billion INR,2020,324.5 Billion INR,"Technology, Software and IT, Software Consulting Services, Software Outsourcing Services, Software Products, Consulting Services, Outsourcing and Staffing",606331,2022,Rajesh Gopinathan,1569.5,324.5,Billion INR,Billion INR
99,LOCKHEED MARTIN CORPORATION,98,112.4,USA,2019,59.81 Billion USD,2019,6.23 Billion USD,"Industries, Aerospace Products, Defense Products, Aerospace and Defense, Missiles, Weapons, Marine Systems, Security Systems and Solutions, Capital Goods, Space Products, Artificial Intelligence",114000,2022,Jim Taiclet,59.81,6.23,Billion USD,Billion USD
